CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
중구,장충동1가,아파트,450000.0,1
종로구,신문로2가,아파트,280000.0,1
중구,회현동2가,아파트,181500.0,4
용산구,한남동,아파트,166131.1,111
용산구,한강로3가,아파트,157213.1,92
서초구,반포동,아파트,154899.9,757
용산구,용산동5가,아파트,153959.7,31
마포구,하중동,아파트,140170.0,20
종로구,내수동,아파트,132300.0,15
중구,회현동1가,아파트,131500.0,12
강남구,도곡동,아파트,124086.0,564
용산구,용산동5가,오피스텔,122750.0,2
용산구,한강로2가,아파트,120345.2,52
용산구,동자동,아파트,119873.1,13
강남구,청담동,아파트,119867.2,301
종로구,홍파동,아파트,119745.2,46
종로구,사직동,아파트,119061.1,18
서초구,잠원동,아파트,116535.9,729
강남구,대치동,아파트,116136.3,895
종로구,평동,아파트,115221.1,37
강남구,세곡동,연립다세대,113885.0,10
강남구,압구정동,아파트,112545.5,406
중구,남대문로5가,아파트,112500.0,3
마포구,서교동,아파트,111776.8,49
강남구,삼성동,아파트,109228.9,415
서초구,방배동,아파트,103643.5,551
용산구,서빙고동,아파트,103150.9,55
마포구,용강동,아파트,103047.3,56
송파구,잠실동,아파트,101783.3,1152
서초구,서초동,아파트,99716.1,1014
성동구,성수동1가,아파트,98522.8,369
마포구,상수동,아파트,96233.3,48
용산구,신계동,아파트,95847.0,48
용산구,한강로1가,아파트,95757.1,14
용산구,한남동,연립다세대,95532.1,53
송파구,신천동,아파트,94117.1,604
강남구,일원동,아파트,93920.0,374
강남구,역삼동,아파트,93781.3,542
강남구,개포동,아파트,90199.0,830
종로구,충신동,아파트,89750.0,8
동작구,동작동,아파트,87500.0,52
마포구,염리동,아파트,87130.4,187
성동구,상왕십리동,아파트,86482.4,61
강남구,도곡동,오피스텔,86291.7,26
마포구,아현동,아파트,85610.1,383
마포구,현석동,아파트,85543.7,86
송파구,가락동,아파트,85120.0,779
용산구,원효로1가,아파트,84778.7,74
영등포구,여의도동,아파트,84679.6,411
성동구,금호동4가,아파트,84607.7,226
강남구,자곡동,연립다세대,84125.0,4
동작구,흑석동,아파트,83668.4,360
마포구,대흥동,아파트,83595.8,215
광진구,구의동,아파트,82821.3,324
영등포구,당산동5가,아파트,82712.7,183
중구,만리동2가,아파트,81992.9,117
송파구,방이동,아파트,81755.8,341
종로구,청운동,연립다세대,81714.3,7
강남구,신사동,아파트,81541.1,44
용산구,효창동,아파트,81278.5,119
마포구,신공덕동,아파트,80869.5,159
마포구,합정동,아파트,80860.0,30
성동구,옥수동,아파트,80622.9,475
마포구,공덕동,아파트,80051.3,270
성동구,금호동2가,아파트,79988.9,211
성동구,하왕십리동,아파트,79724.9,369
광진구,광장동,아파트,79606.5,369
용산구,이촌동,아파트,79556.6,531
종로구,무악동,아파트,78840.4,74
중구,충무로4가,아파트,78811.6,19
마포구,신수동,아파트,77940.5,160
종로구,인의동,아파트,77875.0,4
성동구,금호동1가,아파트,77841.9,270
용산구,청암동,아파트,77500.0,2
강남구,논현동,아파트,76001.9,222
양천구,목동,아파트,75561.3,1215
