RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,LAT,LON,PRICE_PER_SQM,PRICE_PER_PYEONG
2026,11530,구로구,11000,온수동,1,대지,154,0,리치안풍산,2026-09-04,47000,84.99,0.0,2.0,,,2009,아파트,중개거래,서울 구로구,37.4958657705491,126.817575770016,553.0,1828.1
2026,11260,중랑구,10500,망우동,1,대지,479,0,한일써너스빌리젠시1단지(101동),2026-09-03,88500,84.74,0.0,19.0,,,2008,아파트,중개거래,서울 중랑구,37.5973351400052,127.093477736804,1044.4,3452.5
2026,11740,강동구,10900,천호동,1,대지,19,1,우성,2026-09-03,83807,64.53,0.0,7.0,,,1985,아파트,직거래,,37.5497684861221,127.138816135129,1298.7,4293.3
2026,11305,강북구,10100,미아동,1,대지,194,2,엘리프미아역1단지,2026-09-03,84000,59.997,0.0,23.0,분양권,,0,아파트,중개거래,서울 강북구,37.6292755859794,127.025459152278,1400.1,4628.3
2026,11650,서초구,10100,방배동,1,대지,866,20,방배대우디오빌,2026-09-03,29800,29.6,0.0,8.0,,,2005,아파트,중개거래,서울 동작구,37.486044022746,126.984200927218,1006.8,3328.1
2026,11290,성북구,13300,정릉동,1,대지,780,0,"산장아파트가동,나동",2026-09-03,37000,52.89,0.0,1.0,,,1977,아파트,중개거래,서울 성북구,37.6167648609946,127.002136993966,699.6,2312.6
2026,11320,도봉구,10700,창동,1,대지,818,0,창동현대4차,2026-09-03,99900,101.995,0.0,8.0,,,2003,아파트,중개거래,서울 도봉구,37.658956130778,127.046300185008,979.5,3237.9
2026,11440,마포구,12400,연남동,1,대지,573,0,코오롱,2026-09-03,135000,102.158,0.0,11.0,,,2003,아파트,중개거래,서울 마포구,37.5644996108505,126.920421359818,1321.5,4368.5
2026,11260,중랑구,10300,중화동,1,대지,462,0,리버센SKVIEW롯데캐슬,2026-09-03,130000,100.97,0.0,8.0,,,2025,아파트,직거래,,37.6027640054814,127.075560229011,1287.5,4256.2
2026,11380,은평구,10900,신사동,1,대지,360,0,신사성원,2026-09-03,59800,59.94,0.0,8.0,,,2000,아파트,중개거래,서울 은평구,37.6004445878031,126.913301309199,997.7,3298.1
2026,11260,중랑구,10600,신내동,1,대지,783,0,성원,2026-09-03,68500,84.32,0.0,1.0,,,1994,아파트,중개거래,"경기 구리시, 서울 중랑구",37.6049590200548,127.094533350571,812.4,2685.6
2026,11305,강북구,10100,미아동,1,대지,811,0,두산위브트레지움,2026-09-03,94000,84.97,0.0,1.0,,,2011,아파트,중개거래,서울 강북구,37.6177643032662,127.01693069632,1106.3,3657.1
2026,11500,강서구,10300,화곡동,1,대지,919,1,유림노르웨이숲(919-1),2026-09-03,55000,64.05,0.0,7.0,,,2004,아파트,중개거래,서울 강서구,37.5301648129326,126.843935091187,858.7,2838.7
2026,11470,양천구,10100,신정동,1,대지,1308,0,동원로데오,2026-09-03,85000,84.2,0.0,1.0,,,2006,아파트,중개거래,서울 양천구,37.528743622939,126.862767440375,1009.5,3337.2
2026,11545,금천구,10300,시흥동,1,대지,817,29,시흥(817-29),2026-09-03,24300,39.83,0.0,2.0,,,1975,아파트,중개거래,서울 금천구,37.4558386091227,126.907818376125,610.1,2016.8
2026,11290,성북구,13400,길음동,1,대지,1277,0,길음현대,2026-09-03,75700,59.98,0.0,5.0,,,2000,아파트,중개거래,"서울 노원구, 서울 성북구",37.6081777622982,127.019941171614,1262.1,4172.2
2026,11380,은평구,11400,진관동,1,대지,14,0,상림마을8단지롯데캐슬(801~809동)BL1-2,2026-09-03,99000,101.93,0.0,7.0,,,2008,아파트,직거래,,37.6452288057488,126.924900323142,971.3,3210.8
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64821,52.66,0.0,17.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1230.9,4069.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,8.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,14.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,65485,52.66,0.0,14.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1243.5,4110.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,15.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
