CGG_NM,STDG_NM,MNO,SNO,BLDG_NM,JIBUN_ADDR,LAT,LON,GEOCODE_METHOD
구로구,온수동,154,0,리치안풍산,서울특별시 구로구 온수동 154,37.4958657705491,126.817575770016,address
중랑구,망우동,479,0,한일써너스빌리젠시1단지(101동),서울특별시 중랑구 망우동 479,37.5973351400052,127.093477736804,address
강동구,천호동,19,1,우성,서울특별시 강동구 천호동 19-1,37.5497684861221,127.138816135129,address
강북구,미아동,194,2,엘리프미아역1단지,서울특별시 강북구 미아동 194-2,37.6292755859794,127.025459152278,address
서초구,방배동,866,20,방배대우디오빌,서울특별시 서초구 방배동 866-20,37.486044022746,126.984200927218,address
성북구,정릉동,780,0,"산장아파트가동,나동",서울특별시 성북구 정릉동 780,37.6167648609946,127.002136993966,address
도봉구,창동,818,0,창동현대4차,서울특별시 도봉구 창동 818,37.658956130778,127.046300185008,address
마포구,연남동,573,0,코오롱,서울특별시 마포구 연남동 573,37.5644996108505,126.920421359818,address
중랑구,중화동,462,0,리버센SKVIEW롯데캐슬,서울특별시 중랑구 중화동 462,37.6027640054814,127.075560229011,address
은평구,신사동,360,0,신사성원,서울특별시 은평구 신사동 360,37.6004445878031,126.913301309199,address
중랑구,신내동,783,0,성원,서울특별시 중랑구 신내동 783,37.6049590200548,127.094533350571,address
강북구,미아동,811,0,두산위브트레지움,서울특별시 강북구 미아동 811,37.6177643032662,127.01693069632,address
강서구,화곡동,919,1,유림노르웨이숲(919-1),서울특별시 강서구 화곡동 919-1,37.5301648129326,126.843935091187,address
양천구,신정동,1308,0,동원로데오,서울특별시 양천구 신정동 1308,37.528743622939,126.862767440375,address
금천구,시흥동,817,29,시흥(817-29),서울특별시 금천구 시흥동 817-29,37.4558386091227,126.907818376125,address
성북구,길음동,1277,0,길음현대,서울특별시 성북구 길음동 1277,37.6081777622982,127.019941171614,address
은평구,진관동,14,0,상림마을8단지롯데캐슬(801~809동)BL1-2,서울특별시 은평구 진관동 14,37.6452288057488,126.924900323142,address
은평구,응암동,376,1,미가마하나임,서울특별시 은평구 응암동 376-1,37.5917008831426,126.917913613611,address
도봉구,창동,821,0,초안산신도브래뉴,서울특별시 도봉구 창동 821,37.6334329434769,127.04255535448,address
도봉구,창동,45,0,삼성래미안,서울특별시 도봉구 창동 45,37.6490832554147,127.04854019084,address
구로구,오류동,338,0,동부골든,서울특별시 구로구 오류동 338,37.4992909110144,126.839531583839,address
도봉구,방학동,689,0,동부센트레빌아파트,서울특별시 도봉구 방학동 689,37.6633180819517,127.039531579839,address
중랑구,묵동,13,0,신내,서울특별시 중랑구 묵동 13,37.6164130659246,127.08487405604,address
강북구,미아동,163,21,신일,서울특별시 강북구 미아동 163-21,37.6322484075867,127.026602806568,address
관악구,신림동,1686,0,신림동쌍용아파트,서울특별시 관악구 신림동 1686,37.4721459611276,126.911763045766,address
도봉구,방학동,271,1,신동아아파트1,서울특별시 도봉구 방학동 271-1,37.6609347988243,127.0267260331,address
성북구,장위동,319,0,꿈의숲코오롱하늘채,서울특별시 성북구 장위동 319,37.6197814798825,127.046108919378,address
동대문구,장안동,333,5,삼현팰리체,서울특별시 동대문구 장안동 333-5,37.5715294876614,127.075962435804,address
성북구,돈암동,552,9,삼성아지오아파트,서울특별시 성북구 돈암동 552-9,37.597425607468,127.012848539041,address
도봉구,창동,373,0,창동주공4단지,서울특별시 도봉구 창동 373,37.645841010278,127.048016739909,address
도봉구,창동,347,0,창동주공3단지(해등마을),서울특별시 도봉구 창동 347,37.6500631583751,127.04420113616,address
은평구,대조동,179,16,북한산포레스트,서울특별시 은평구 대조동 179-16,37.6075919366078,126.922186036575,address
구로구,개봉동,481,0,현대,서울특별시 구로구 개봉동 481,37.492077368255,126.858496444041,address
은평구,진관동,10,0,상림마을7단지아이파크(730~742동)BL1-14,서울특별시 은평구 진관동 10,37.6424032153905,126.931075917531,address
도봉구,쌍문동,56,0,삼익세라믹,서울특별시 도봉구 쌍문동 56,37.6575242550096,127.034882395018,address
마포구,신수동,462,0,마포아이파크포레,서울특별시 마포구 신수동 462,37.5511313387285,126.934179457937,address
구로구,구로동,97,0,로제리움2차,서울특별시 구로구 구로동 97,37.49600114179,126.891030972504,address
동대문구,이문동,54,0,현대,서울특별시 동대문구 이문동 54,37.6013509634573,127.07019199549,address
관악구,봉천동,7,312,동아타운21,서울특별시 관악구 봉천동 7-312,37.4889292724364,126.957145812964,address
송파구,문정동,145,0,문정시영,서울특별시 송파구 문정동 145,37.4906081165342,127.135334331832,address
성북구,장위동,62,1,장위자이레디언트(4단지),서울특별시 성북구 장위동 62-1,37.6135909157727,127.056587326538,address
성북구,돈암동,15,1,돈암동삼성,서울특별시 성북구 돈암동 15-1,37.5994822164406,127.023373194038,address
중랑구,면목동,1501,0,두산6,서울특별시 중랑구 면목동 1501,37.5775605393485,127.080619776402,address
구로구,신도림동,637,0,우성3,서울특별시 구로구 신도림동 637,37.5130191866004,126.884347609326,address
서초구,서초동,1487,63,서초1차e-편한세상,서울특별시 서초구 서초동 1487-63,37.4811480824098,127.006787516275,address
서대문구,북아현동,1013,0,e편한세상신촌2단지,서울특별시 서대문구 북아현동 1013,37.5582659643517,126.950153860719,address
노원구,하계동,167,10,아주,서울특별시 노원구 하계동 167-10,37.6359554425313,127.074501433471,address
송파구,장지동,854,0,송파파인타운11단지,서울특별시 송파구 장지동 854,37.4796433254146,127.133173446134,address
구로구,구로동,798,21,(798-21),서울특별시 구로구 구로동 798-21,37.4851425240449,126.887526964716,address
도봉구,방학동,717,2,방학지음재힐스,서울특별시 도봉구 방학동 717-2,37.6672859117735,127.044821359728,address
도봉구,방학동,734,0,청구아파트,서울특별시 도봉구 방학동 734,37.6580488858301,127.026228957921,address
구로구,구로동,685,124,중앙하이츠,서울특별시 구로구 구로동 685-124,37.496778679083,126.876098477883,address
영등포구,신길동,4958,0,보라매에스케이뷰,서울특별시 영등포구 신길동 4958,37.5029425844622,126.917366701934,address
은평구,대조동,88,0,힐스테이트 메디알레,서울특별시 은평구 대조동 88,37.6120492662394,126.923358380629,address
은평구,응암동,742,3,남청파인힐,서울특별시 은평구 응암동 742-3,37.5840304729144,126.91600494024,address
중랑구,신내동,656,0,화성.두산아파트,서울특별시 중랑구 신내동 656,37.6136323565234,127.095137479055,address
구로구,항동,236,0,항동중흥에스클래스베르데카운티,서울특별시 구로구 항동 236,37.4810367866964,126.820790760052,address
강북구,번동,418,3,효성네오인텔리안,서울특별시 강북구 번동 418-3,37.6386747667765,127.027039148071,address
관악구,신림동,1706,0,금호2,서울특별시 관악구 신림동 1706,37.4682499779039,126.944282502442,address
강서구,마곡동,1467,0,마곡우림필유아파트,서울특별시 강서구 마곡동 1467,37.5717925752818,126.821349834096,address
송파구,오금동,166,0,상아1차아파트,서울특별시 송파구 오금동 166,37.4985544476068,127.135337701813,address
송파구,문정동,104,0,현대,서울특별시 송파구 문정동 104,37.4857688614506,127.1303164596,address
영등포구,영등포동5가,32,8,리버센트 푸르지오 위브,서울특별시 영등포구 영등포동5가 32-8,37.5215880879594,126.908145917735,address
강북구,수유동,732,0,형인휴아름,서울특별시 강북구 수유동 732,37.6384529594017,127.022219095506,address
양천구,신정동,325,0,목동신시가지11,서울특별시 양천구 신정동 325,37.5120560613111,126.858409872488,address
관악구,신림동,763,0,한라타운아파트,서울특별시 관악구 신림동 763,37.476541586877,126.915152218223,address
은평구,응암동,116,17,서강스카이빌2,서울특별시 은평구 응암동 116-17,37.5981564599415,126.92024058349,address
영등포구,당산동,121,200,휴브리지빌딩,서울특별시 영등포구 당산동 121-200,37.528512185726,126.90824580901,address
도봉구,창동,305,0,창동주공1단지,서울특별시 도봉구 창동 305,37.6535360746342,127.039404572356,address
광진구,화양동,21,2,브라운스톤,서울특별시 광진구 화양동 21-2,37.5479950295146,127.068554495728,address
동대문구,장안동,95,1,장안현대,서울특별시 동대문구 장안동 95-1,37.5808826791312,127.069120244697,address
도봉구,쌍문동,13,2,대웅,서울특별시 도봉구 쌍문동 13-2,37.6599075567277,127.035703351898,address
구로구,구로동,1260,0,이화우성,서울특별시 구로구 구로동 1260,37.4898358033032,126.893880128121,address
도봉구,창동,38,0,주공17단지,서울특별시 도봉구 창동 38,37.6442064819292,127.05338274179,address
강북구,번동,242,0,주공1단지,서울특별시 강북구 번동 242,37.6247095737389,127.04711402283,address
관악구,봉천동,867,12,프라비다2,서울특별시 관악구 봉천동 867-12,37.479680684799,126.950448167247,address
구로구,오류동,339,0,동부(105동~106동),서울특별시 구로구 오류동 339,37.4970730544702,126.848726529372,address
은평구,신사동,278,1,우공101동,서울특별시 은평구 신사동 278-1,37.600141423771,126.9065956429,address
송파구,풍납동,401,1,쌍용,서울특별시 송파구 풍납동 401-1,37.5272518297608,127.117703245843,address
관악구,신림동,1433,55,프라비다트라움,서울특별시 관악구 신림동 1433-55,37.4848051201951,126.928086408982,address
구로구,항동,238,0,하버라인4단지,서울특별시 구로구 항동 238,37.4812930891044,126.826871035904,address
도봉구,창동,815,0,창동2차현대,서울특별시 도봉구 창동 815,37.6610336966577,127.046089315065,address
중랑구,상봉동,497,0,태영데시앙1,서울특별시 중랑구 상봉동 497,37.6031459393664,127.092739964795,address
양천구,신월동,203,18,주함헤븐105동,서울특별시 양천구 신월동 203-18,37.5302552429753,126.829697860442,address
은평구,갈현동,395,2,효민아크로뷰,서울특별시 은평구 갈현동 395-2,37.6205827444968,126.91975833281,address
강서구,공항동,1398,0,더트루엘마곡HQ,서울특별시 강서구 공항동 1398,37.5613941334125,126.815106975018,address
관악구,봉천동,1712,0,관악드림(동아),서울특별시 관악구 봉천동 1712,37.489767905811,126.950619822698,address
성북구,정릉동,1031,0,정릉힐스테이트3차,서울특별시 성북구 정릉동 1031,37.6144302680147,127.007547825596,address
중랑구,면목동,1502,0,현대,서울특별시 중랑구 면목동 1502,37.5762581128666,127.089787282993,address
구로구,구로동,256,1,삼성래미안,서울특별시 구로구 구로동 256-1,37.4877325877276,126.891899158263,address
강서구,방화동,860,0,마곡서광(치현마을),서울특별시 강서구 방화동 860,37.5793097745828,126.819298295646,address
성북구,정릉동,210,0,정릉푸른마을동아,서울특별시 성북구 정릉동 210,37.6075161605071,127.01440352853,address
양천구,목동,956,0,롯데캐슬위너,서울특별시 양천구 목동 956,37.5468252120401,126.867150717582,address
강서구,내발산동,673,11,청솔숲속마을101동,서울특별시 강서구 내발산동 673-11,37.5512061585253,126.839664673036,address
도봉구,방학동,720,18,방학동삼성래미안1,서울특별시 도봉구 방학동 720-18,37.6669775389205,127.047276059135,address
서초구,서초동,1600,11,서초레몬,서울특별시 서초구 서초동 1600-11,37.4857852096649,127.0154466978,address
양천구,신정동,1306,0,세양청마루,서울특별시 양천구 신정동 1306,37.5071533161833,126.863675809775,address
양천구,신정동,1295,0,목동2삼성래미안,서울특별시 양천구 신정동 1295,37.5104950665501,126.86829619457,address
양천구,신정동,1323,0,목동힐스테이트,서울특별시 양천구 신정동 1323,37.5203061709519,126.856457667129,address
은평구,진관동,102,0,박석고개1단지힐스테이트(116~131동)BL2-1,서울특별시 은평구 진관동 102,37.6330388638858,126.922287528799,address
동대문구,답십리동,530,15,현대썬앤빌청계,서울특별시 동대문구 답십리동 530-15,37.5661625518015,127.055151048753,address
용산구,이촌동,300,27,리버뷰,서울특별시 용산구 이촌동 300-27,37.5201637323928,126.971946115671,address
구로구,구로동,1281,0,한일유앤아이,서울특별시 구로구 구로동 1281,37.4864737258532,126.876052971485,address
강서구,내발산동,711,6,청솔수(711-6),서울특별시 강서구 내발산동 711-6,37.5503160972745,126.832485324659,address
양천구,신월동,1030,0,방주기픈샘,서울특별시 양천구 신월동 1030,37.5250628168519,126.842857208829,address
중랑구,면목동,1531,0,마젤란21,서울특별시 중랑구 면목동 1531,37.5868340887344,127.084126489209,address
강동구,성내동,545,7,집앤사비디아파트,서울특별시 강동구 성내동 545-7,37.5274210709483,127.128973615608,address
중랑구,신내동,479,0,중앙하이츠,서울특별시 중랑구 신내동 479,37.6034907491923,127.098088211575,address
성북구,정릉동,1024,0,피오레,서울특별시 성북구 정릉동 1024,37.6171972611388,127.00090319015,address
강북구,미아동,812,0,삼성래미안트리베라2단지,서울특별시 강북구 미아동 812,37.6173116384026,127.020401549408,address
