SIDO_NM,SGG_NM,ADMI_NM,FULL_NM,ADMI_CD,TT,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,0,275.03328767123287,1928.0464383561643,1297.987287671233,1593.5495068493149,2669.3416986301368,2491.817890410959,1964.523123287671,1627.4715616438357,422.3774794520548,2084.254191780822,1380.5701369863013,2025.7219178082191,3183.8298630136983,2440.1037534246575,2166.950630136986,1801.820383561644
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,1,275.6151506849315,1940.5977808219177,1319.0728219178084,1610.4599178082192,2695.0404383561645,2502.702876712329,1969.9819452054796,1630.5320821917808,422.8960547945205,2097.6919452054794,1394.5937808219178,2037.6709315068495,3195.447397260274,2446.488191780822,2169.2753698630136,1803.3220547945207
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,2,276.18835616438355,1949.8725479452055,1340.1632876712329,1629.1733150684931,2719.957232876712,2514.382684931507,1981.4279726027396,1639.6247397260274,423.40479452054797,2106.7349589041096,1406.2516438356163,2047.2280273972601,3207.9512602739724,2456.617095890411,2178.7266575342464,1811.3020547945205
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,3,276.317397260274,1952.1849589041096,1352.1842465753425,1639.017808219178,2731.0479452054797,2526.4918356164385,1987.2256712328767,1643.0182465753426,423.1570136986301,2109.0470958904107,1411.6330410958903,2050.437917808219,3210.7767397260272,2458.554684931507,2180.7317808219177,1811.7296438356163
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,4,276.0855616438356,1951.7546301369862,1356.2875068493152,1645.8876438356165,2734.8123287671233,2545.9666027397257,1987.9610136986303,1644.108301369863,422.7312054794521,2108.5394520547948,1411.5716438356164,2048.9605753424657,3208.770849315069,2454.9789589041093,2176.889561643836,1807.057589041096
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,5,275.2707123287671,1950.0436164383564,1356.1775890410959,1649.317397260274,2727.6185753424656,2558.5609863013697,1984.4532328767125,1633.4391506849315,421.7967945205479,2105.649890410959,1408.3068219178083,2040.9299452054795,3197.3888767123285,2443.0247397260273,2165.266410958904,1800.520301369863
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,6,273.10687671232876,1939.650904109589,1336.5191506849314,1633.1512054794518,2659.041835616438,2505.0929589041098,1968.1188219178082,1608.1587123287673,418.56213698630137,2094.925506849315,1393.5569589041095,2007.8650958904109,3157.57698630137,2415.4338630136986,2149.8850410958903,1788.8347397260275
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,7,274.22197260273975,1938.9023561643835,1328.4108767123287,1598.7210958904109,2493.0394246575343,2373.72802739726,1913.7331780821917,1618.3863561643836,422.3707945205479,2097.1816438356163,1382.688493150685,1981.4381095890412,3103.5323287671235,2419.968712328767,2168.254767123288,1813.0101369863012
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,8,279.76816438356167,1926.8231780821916,1285.8177534246574,1480.7235616438356,2173.0785479452056,2104.8276712328766,1838.7281095890412,1610.9197808219178,429.65843835616437,2114.7191506849313,1345.7171232876713,1921.921205479452,2977.258,2377.2020273972603,2185.954301369863,1835.1101369863013
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,9,279.6355616438356,1871.8294520547945,1208.7538082191782,1310.7889315068494,1823.1628767123286,1802.492712328767,1659.5941369863012,1555.9827671232877,425.8690684931507,2044.7740000000001,1243.99101369863,1783.1437534246575,2738.4018356164383,2284.8107123287673,2194.3446301369863,1835.9515890410958
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,10,276.8998630136986,1817.648602739726,1143.2428219178082,1211.3890410958904,1647.0767397260274,1655.6864109589042,1531.9255068493153,1473.9749315068493,417.1569589041096,1973.3250410958904,1165.8731232876712,1669.6865479452053,2530.8295342465753,2172.723917808219,2154.052602739726,1795.3794794520547
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,11,276.4976164383562,1795.0213150684933,1101.8661095890411,1149.8275616438357,1564.5371232876714,1577.6361095890413,1446.6284383561645,1403.859397260274,413.12095890410956,1936.2172328767124,1110.3041917808218,1583.3539178082194,2392.6319452054795,2073.9876438356164,2058.477205479452,1745.9356438356165
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,12,275.08846575342466,1773.7442191780822,1056.721506849315,1108.4300821917807,1513.4503835616438,1535.9940000000001,1406.1281643835616,1354.5259726027398,410.13726027397263,1897.0296712328766,1060.4170684931507,1531.3309315068493,2341.957123287671,1998.3587397260274,2001.71898630137,1723.5975068493149
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,13,270.5824109589041,1746.491890410959,1014.5347671232877,1078.4618630136986,1499.9177534246576,1514.545808219178,1384.844821917808,1331.1492328767122,401.50347945205476,1852.6334794520546,1013.9355616438355,1512.1699178082192,2351.864301369863,1962.9321643835617,2001.8982465753425,1723.8066301369863
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,14,261.288602739726,1713.4168493150685,988.4467397260274,1059.5313698630137,1504.5016712328766,1514.8862191780822,1379.4432328767125,1348.4541643835616,373.9762191780822,1806.2281095890412,977.3501643835616,1510.552109589041,2392.524767123288,1956.0115068493149,2022.6608767123287,1731.4930684931505
서울특별시,강남구,개포1동,서울특별시 강남구 개포1동,11680660,15,246.1638904109589,1602.9370410958904,968.143808219178,1048.1589863013699,1513.7413698630137,1532.0772876712329,1402.2726575342467,1387.029698630137,351.52723287671233,1684.984301369863,953.2287397260274,1511.7832602739727,2433.8652602739726,1981.8180273972603,2062.8390684931505,1766.8452602739726
